Experiment,spite_sigma,comp_sigma,diff_sigma,cost,average_n_individuals,average_mean_spite,average_max_spite,average_sd_spite,average_mean_density,final_spite_10_quantile,final_spite_25_quantile,final_spite_50_quantile,final_spite_75_quantile,final_spite_90_quantile
d4_c4_s1_cost0.005,1.0,4.0,4.0,0.005,14398.73378,0.20436636,0.9982674,0.32114762,0.013730304,-0.04999999329447746,0.15000000596046448,0.30000001192092896,0.4500000476837158,0.5500000715255737
d4_c4_s2_cost0.005,2.0,4.0,4.0,0.005,14047.949406666667,0.45018467,1.2841105,0.34141,0.024128247,-0.2500000298023224,0.1499999612569809,0.3999999761581421,0.6500000953674316,0.8500000834465027
d4_c4_s4_cost0.005,4.0,4.0,4.0,0.005,13624.785066666667,0.7323445,1.549781,0.3277192,0.03658655,0.24999995529651642,0.550000011920929,0.6500000357627869,0.9000000953674316,1.0000001192092896
d4_c4_s8_cost0.005,8.0,4.0,4.0,0.005,13379.240213333333,0.8555201,1.7459068,0.35950437,0.04265203,0.44999998807907104,0.6000000238418579,0.8500000834465027,1.100000023841858,1.2499998807907104
d4_c8_s16_cost0.005,16.0,8.0,4.0,0.005,13032.77962,0.36499313,1.242469,0.37257925,0.020124944,-0.7000001072883606,0.049999963492155075,0.34999996423721313,0.550000011920929,0.7500000596046448
d4_c8_s1_cost0.005,1.0,8.0,4.0,0.005,13333.66538,-0.9194448,0.06579503,0.44138354,5.9844e-05,-2.049999237060547,-1.8999993801116943,-1.1999999284744263,-0.550000011920929,-0.2999999523162842
d4_c8_s2_cost0.005,2.0,8.0,4.0,0.005,13332.295306666667,-0.99509573,-0.20271565,0.3249507,0.00019710542,-1.799999475479126,-1.5999995470046997,-1.399999737739563,-1.2499998807907104,-1.100000023841858
d4_c8_s4_cost0.005,4.0,8.0,4.0,0.005,13244.448206666666,-0.591761,0.93162644,0.72439665,0.00653779,-2.349998950958252,-2.049999237060547,-1.7999993562698364,-1.2499998807907104,-0.19999995827674866
d4_c8_s8_cost0.005,8.0,8.0,4.0,0.005,12898.52212,0.5570907,1.505191,0.41242003,0.028744424,-0.9000001549720764,-0.3500000238418579,0.550000011920929,0.7000000476837158,0.8000000715255737
d8_c16_s16_cost0.005,16.0,16.0,8.0,0.005,13009.3063,-0.7268293,0.39821005,0.42790598,0.0013741903,-1.9499993324279785,-1.549999713897705,-1.100000023841858,-0.8500000834465027,-0.049999963492155075
d8_c16_s2_cost0.005,2.0,16.0,8.0,0.005,13020.328166666666,-0.84183174,-0.044260975,0.3107457,2.7682483e-05,-0.9500001072883606,-0.8000000715255737,-0.6000000238418579,-0.3999999761581421,-0.24999995529651642
d8_c16_s32_cost0.005,32.0,16.0,8.0,0.005,13009.084946666666,-0.63852143,0.17977068,0.32992983,0.0013393739,-1.6499994993209839,-1.4499996900558472,-1.149999976158142,-0.8750000894069672,-0.7000000476837158
d8_c16_s4_cost0.005,4.0,16.0,8.0,0.005,13020.39274,-1.2225893,-0.22041331,0.41729483,3.3381108e-05,-2.349998950958252,-2.2499990463256836,-2.099999189376831,-1.8999993801116943,-1.6499996185302734
d8_c16_s8_cost0.005,8.0,16.0,8.0,0.005,13013.893086666667,-0.58857375,0.3680737,0.3571118,0.00079656066,-1.4499996900558472,-1.1999999284744263,-0.9000000953674316,-0.550000011920929,-0.40000003576278687
d8_c2_s16_cost0.005,16.0,2.0,8.0,0.005,20778.748453333334,-0.517474,0.5179867,0.4150574,0.0018595186,-1.5999995470046997,-1.2999998331069946,-0.8500001430511475,-0.6000000834465027,-0.44999998807907104
d8_c2_s2_cost0.005,2.0,2.0,8.0,0.005,20038.899286666667,-0.5491812,1.2971067,0.6404338,0.008793717,-1.149999976158142,-0.9000000953674316,-0.6000000238418579,-0.2999999523162842,0.050000037997961044
d8_c2_s32_cost0.005,32.0,2.0,8.0,0.005,20863.071333333333,-0.622184,0.2874667,0.35432976,0.0011220011,-1.5999995470046997,-1.2999998331069946,-0.9000000953674316,-0.6000000238418579,-0.3999999761581421
d8_c2_s4_cost0.005,4.0,2.0,8.0,0.005,20722.76146,-0.92635834,0.38923332,0.5425427,0.0024482855,-1.5999996662139893,-1.2999998331069946,-1.0500000715255737,-0.7500000596046448,-0.44999998807907104
d8_c2_s8_cost0.005,8.0,2.0,8.0,0.005,20549.20452666667,-0.76023793,0.7037233,0.647508,0.003962084,-1.9499993324279785,-1.7499995231628418,-1.5999996662139893,-1.4499998092651367,-1.2999998331069946
d8_c32_s16_cost0.005,16.0,32.0,8.0,0.005,12967.287413333333,-1.8689687,-0.74681604,0.4625177,0.00011268294,-3.3999979496002197,-2.4999988079071045,-2.049999237060547,-1.8499994277954102,-1.6999995708465576
d8_c32_s2_cost0.005,2.0,32.0,8.0,0.005,12965.84212,-0.43570498,0.27048364,0.2765719,0.00029569815,-0.9000000953674316,-0.5000000596046448,-0.25,-0.15000000596046448,-0.05000000819563866
d8_c32_s32_cost0.005,32.0,32.0,8.0,0.005,12964.335773333334,-0.79390216,0.20953037,0.44214177,0.00048929075,-2.399998903274536,-2.049999237060547,-1.6499996185302734,-0.9500001072883606,-0.40000003576278687
