Experiment,spite_sigma,comp_sigma,diff_sigma,cost,kd,initial_spite_frequency,spite_expression_prob,average_mean_spite,average_mean_density,average_spite_freq,average_n_individuals
l_d16_c16_s8_cost0.01_kd0.001_init0.25_eprob0.05_resTrue_kc0.05,8.0,16.0,16.0,0.01,0.001,0.25,0.05,0.011576465,3.0064815e-05,0.02315293,12986.53
l_d16_c16_s8_cost0.01_kd0.001_init0.25_eprob0.2_resTrue_kc0.05,8.0,16.0,16.0,0.01,0.001,0.25,0.2,0.0026412471,2.6862519e-05,0.0052824942,12984.65
l_d16_c16_s8_cost0.1_kd0.001_init0.02_eprob0.001_resTrue_kc0.05,8.0,16.0,16.0,0.1,0.001,0.02,0.001,0.08274601,3.7564134e-06,0.16549201,12991.22
l_d16_c16_s8_cost0.1_kd0.001_init0.02_eprob0.01_resTrue_kc0.05,8.0,16.0,16.0,0.1,0.001,0.02,0.01,0.035931673,1.7584563e-05,0.071863346,12986.34
l_d16_c16_s8_cost0.1_kd0.001_init0.02_eprob0.05_resTrue_kc0.05,8.0,16.0,16.0,0.1,0.001,0.02,0.05,0.009865489,2.471766e-05,0.019730978,12981.68
l_d16_c16_s8_cost0.1_kd0.001_init0.02_eprob0.2_resTrue_kc0.05,8.0,16.0,16.0,0.1,0.001,0.02,0.2,0.0025416177,2.671197e-05,0.0050832354,12982.77
l_d16_c16_s8_cost0.1_kd0.001_init0.25_eprob0.001_resTrue_kc0.05,8.0,16.0,16.0,0.1,0.001,0.25,0.001,0.08464608,3.9654506e-06,0.16929217,12974.71
l_d16_c16_s8_cost0.1_kd0.001_init0.25_eprob0.01_resTrue_kc0.05,8.0,16.0,16.0,0.1,0.001,0.25,0.01,0.039933693,2.0764786e-05,0.079867385,12982.13
l_d16_c16_s8_cost0.1_kd0.001_init0.25_eprob0.05_resTrue_kc0.05,8.0,16.0,16.0,0.1,0.001,0.25,0.05,0.009963092,2.5916312e-05,0.019926185,12981.56
l_d16_c16_s8_cost0.1_kd0.001_init0.25_eprob0.2_resTrue_kc0.05,8.0,16.0,16.0,0.1,0.001,0.25,0.2,0.0023726854,2.447521e-05,0.0047453707,12976.76
l_d16_c32_s16_cost0.01_kd0.001_init0.02_eprob0.001_resTrue_kc0.05,16.0,32.0,16.0,0.01,0.001,0.02,0.001,0.22000885,1.1407538e-05,0.4400177,12953.79
l_d16_c32_s16_cost0.01_kd0.001_init0.02_eprob0.01_resTrue_kc0.05,16.0,32.0,16.0,0.01,0.001,0.02,0.01,0.10447213,5.0602997e-05,0.20894426,12939.97
l_d16_c32_s16_cost0.01_kd0.001_init0.02_eprob0.05_resTrue_kc0.05,16.0,32.0,16.0,0.01,0.001,0.02,0.05,0.010142532,2.529007e-05,0.020285064,12957.44
l_d16_c32_s16_cost0.01_kd0.001_init0.02_eprob0.2_resTrue_kc0.05,16.0,32.0,16.0,0.01,0.001,0.02,0.2,0.0028527305,2.8942073e-05,0.005705461,12952.43
l_d16_c32_s16_cost0.01_kd0.001_init0.25_eprob0.001_resTrue_kc0.05,16.0,32.0,16.0,0.01,0.001,0.25,0.001,0.2527461,1.2771968e-05,0.5054922,12948.2
l_d16_c32_s16_cost0.01_kd0.001_init0.25_eprob0.01_resTrue_kc0.05,16.0,32.0,16.0,0.01,0.001,0.25,0.01,0.06340543,3.2035903e-05,0.12681086,12951.64
l_d16_c32_s16_cost0.01_kd0.001_init0.25_eprob0.05_resTrue_kc0.05,16.0,32.0,16.0,0.01,0.001,0.25,0.05,0.01139256,2.806806e-05,0.02278512,12956.84
l_d16_c32_s16_cost0.01_kd0.001_init0.25_eprob0.2_resTrue_kc0.05,16.0,32.0,16.0,0.01,0.001,0.25,0.2,0.0024381508,2.4637317e-05,0.0048763016,12951.91
l_d16_c32_s16_cost0.1_kd0.001_init0.02_eprob0.001_resTrue_kc0.05,16.0,32.0,16.0,0.1,0.001,0.02,0.001,0.077839896,3.760558e-06,0.15567979,12944.1
l_d16_c32_s16_cost0.1_kd0.001_init0.02_eprob0.01_resTrue_kc0.05,16.0,32.0,16.0,0.1,0.001,0.02,0.01,0.030359395,1.5003926e-05,0.06071879,12950.21
l_d16_c32_s16_cost0.1_kd0.001_init0.02_eprob0.05_resTrue_kc0.05,16.0,32.0,16.0,0.1,0.001,0.02,0.05,0.011176279,2.6780988e-05,0.022352558,12949.89
l_d16_c32_s16_cost0.1_kd0.001_init0.02_eprob0.2_resTrue_kc0.05,16.0,32.0,16.0,0.1,0.001,0.02,0.2,0.002678289,2.638287e-05,0.005356578,12946.61
l_d16_c32_s16_cost0.1_kd0.001_init0.25_eprob0.001_resTrue_kc0.05,16.0,32.0,16.0,0.1,0.001,0.25,0.001,0.07487849,3.6907281e-06,0.14975698,12959.5
l_d16_c32_s16_cost0.1_kd0.001_init0.25_eprob0.01_resTrue_kc0.05,16.0,32.0,16.0,0.1,0.001,0.25,0.01,0.037860405,1.9107058e-05,0.07572081,12951.79
l_d16_c32_s16_cost0.1_kd0.001_init0.25_eprob0.05_resTrue_kc0.05,16.0,32.0,16.0,0.1,0.001,0.25,0.05,0.010723523,2.5958368e-05,0.021447046,12950.09
l_d16_c32_s16_cost0.1_kd0.001_init0.25_eprob0.2_resTrue_kc0.05,16.0,32.0,16.0,0.1,0.001,0.25,0.2,0.002725861,2.6177608e-05,0.005451722,12955.08
l_d16_c32_s32_cost0.01_kd0.001_init0.02_eprob0.001_resTrue_kc0.05,32.0,32.0,16.0,0.01,0.001,0.02,0.001,0.21507876,1.0797073e-05,0.4301575,12957.21
l_d16_c32_s32_cost0.01_kd0.001_init0.02_eprob0.01_resTrue_kc0.05,32.0,32.0,16.0,0.01,0.001,0.02,0.01,0.064314194,3.147634e-05,0.12862839,12940.42
l_d16_c32_s32_cost0.01_kd0.001_init0.02_eprob0.05_resTrue_kc0.05,32.0,32.0,16.0,0.01,0.001,0.02,0.05,0.009486441,2.3415996e-05,0.018972881,12951.1
l_d16_c32_s32_cost0.01_kd0.001_init0.02_eprob0.2_resTrue_kc0.05,32.0,32.0,16.0,0.01,0.001,0.02,0.2,0.0026679784,2.6341644e-05,0.005335957,12952.69
l_d16_c32_s32_cost0.01_kd0.001_init0.25_eprob0.001_resTrue_kc0.05,32.0,32.0,16.0,0.01,0.001,0.25,0.001,0.24562177,1.2701893e-05,0.49124354,12954.49
l_d16_c32_s32_cost0.01_kd0.001_init0.25_eprob0.01_resTrue_kc0.05,32.0,32.0,16.0,0.01,0.001,0.25,0.01,0.0671428,3.2181983e-05,0.1342856,12951.3
l_d16_c32_s32_cost0.01_kd0.001_init0.25_eprob0.05_resTrue_kc0.05,32.0,32.0,16.0,0.01,0.001,0.25,0.05,0.010382918,2.5733847e-05,0.020765835,12949.48
l_d16_c32_s32_cost0.01_kd0.001_init0.25_eprob0.2_resTrue_kc0.05,32.0,32.0,16.0,0.01,0.001,0.25,0.2,0.0025629408,2.5169897e-05,0.0051258816,12952.04
l_d16_c32_s32_cost0.1_kd0.001_init0.02_eprob0.001_resTrue_kc0.05,32.0,32.0,16.0,0.1,0.001,0.02,0.001,0.083020695,3.962864e-06,0.16604139,12955.52
l_d16_c32_s32_cost0.1_kd0.001_init0.02_eprob0.01_resTrue_kc0.05,32.0,32.0,16.0,0.1,0.001,0.02,0.01,0.0374733,1.8988852e-05,0.0749466,12946.87
l_d16_c32_s32_cost0.1_kd0.001_init0.02_eprob0.05_resTrue_kc0.05,32.0,32.0,16.0,0.1,0.001,0.02,0.05,0.009909821,2.3742332e-05,0.019819641,12952.27
l_d16_c32_s32_cost0.1_kd0.001_init0.02_eprob0.2_resTrue_kc0.05,32.0,32.0,16.0,0.1,0.001,0.02,0.2,0.0027769578,2.726994e-05,0.0055539156,12945.25
l_d16_c32_s32_cost0.1_kd0.001_init0.25_eprob0.001_resTrue_kc0.05,32.0,32.0,16.0,0.1,0.001,0.25,0.001,0.07349046,3.592653e-06,0.14698093,12947.4
l_d16_c32_s32_cost0.1_kd0.001_init0.25_eprob0.01_resTrue_kc0.05,32.0,32.0,16.0,0.1,0.001,0.25,0.01,0.036790185,1.7718507e-05,0.07358037,12947.65
l_d16_c32_s32_cost0.1_kd0.001_init0.25_eprob0.05_resTrue_kc0.05,32.0,32.0,16.0,0.1,0.001,0.25,0.05,0.010752866,2.6358925e-05,0.021505732,12941.96
l_d16_c32_s32_cost0.1_kd0.001_init0.25_eprob0.2_resTrue_kc0.05,32.0,32.0,16.0,0.1,0.001,0.25,0.2,0.0025275124,2.4809051e-05,0.0050550248,12953.87
l_d16_c32_s4_cost0.01_kd0.001_init0.02_eprob0.001_resTrue_kc0.05,4.0,32.0,16.0,0.01,0.001,0.02,0.001,0.22077972,1.3957183e-05,0.44155943,12955.63
l_d16_c32_s4_cost0.01_kd0.001_init0.02_eprob0.01_resTrue_kc0.05,4.0,32.0,16.0,0.01,0.001,0.02,0.01,0.06704292,3.957754e-05,0.13408583,12950.48
l_d16_c32_s4_cost0.01_kd0.001_init0.02_eprob0.05_resTrue_kc0.05,4.0,32.0,16.0,0.01,0.001,0.02,0.05,0.011055077,3.3150834e-05,0.022110155,12954.5
l_d16_c32_s4_cost0.01_kd0.001_init0.02_eprob0.2_resTrue_kc0.05,4.0,32.0,16.0,0.01,0.001,0.02,0.2,0.0025469672,2.9941106e-05,0.0050939345,12950.28
l_d16_c32_s4_cost0.01_kd0.001_init0.25_eprob0.001_resTrue_kc0.05,4.0,32.0,16.0,0.01,0.001,0.25,0.001,0.27054355,1.641712e-05,0.5410871,12957.42
